WDS,s,M,|U*g|,Planets
10183-2029,0.04824,0.6528,21.25,No
10185-1143,349.1,0.5296,30.13,Yes
10261+5029,269.1,0.5862,56.31,No
10287+3214,46.67,0.5895,327.8,No
10345+4618,1134,0.5713,10.56,No
10364+4130,60.72,0.6485,222.1,No
10379+1247,21.54,0.7391,1118,No
(LP 316-604 A),46.44,0.8059,365.4,No
10454+3831,9.375,1.035,4743,No
10457-1907,125.1,1.106,428,No
10507+5148,4705,1.319,12.46,No
(G 254-11A),33.57,0.7663,715.7,No
11024+1631,479.2,1.086,108.6,No
11055+4332,156.3,0.4965,49.43,No
11056+4501,73.94,0.7511,180.1,No
11080-0509,6924,1.05,6.979,No
11111+3027,405.8,1.179,149.9,Yes
11114+4325,59.78,0.8727,561.8,No
11152+7329,977.8,1.146,54.83,No
11154-1807,425.6,1.708,201.7,No
11214-2027,50.02,1.07,963.8,No
11241+3808,151.9,0.3444,30.09,No
11254+7817,1647,0.7953,16.8,No
(PM J11266+3756),45.17,1.052,1078,No
(StKM 1-950),1359,0.7714,10.86,No
11355-3856,10.92,0.7318,2156,No
11423+2302,3242,0.8754,9.297,Yes
11471+7002,26.72,0.6304,655.3,No
11477+0016,466.7,0.4645,16.09,No
12007-1348,172.8,0.6132,83.1,No
12017-1214,152.3,0.6079,59.15,No
12113-1958,1087,0.6181,15.31,No
12122+4849,75.75,0.6128,201.6,No
12123+5429,223.4,0.8781,126.5,Yes
(Gaia DR3 1547529669400723968),68.04,0.6703,289.4,No
12169+0258,49.71,0.7378,481.3,No
12204+0035,15.52,1.027,2893,No
12215+3038,53.89,0.2847,66.33,No
(G 197-57),1059,1.072,47.78,No
12272+2701,75.48,1.798,1313,No
12277-0315,36.37,0.6174,425,No
12288-1040,73.21,0.93,521,No
12294+5333,535.5,0.416,11.45,No
12335+0901,5.142,0.2831,687.4,No
12515+2207,2934,1.146,10.22,No
13048+5555,69.38,1.231,950.1,No
13055+3708,13.21,0.9272,2869,No
(G 255-29A),56.84,1.109,935.4,No
13169+1701,84.35,1.361,927.8,Yes
13180+0214,9.416,0.4284,859.3,No
(PM J13182+7322),188.1,0.4541,33.24,No
13235+2914,30.07,1.364,2726,No
13260+3743,91.77,0.9186,327.3,No
(PM J13255+2738),18490,1.45,2.654,No
13284+3005,2178,0.8664,8.352,No
13283-0222,112.1,0.655,154.1,No
13303-0834,8067,0.8285,3.038,No
13328+1649,45.23,0.7619,564.5,No
13349+7430,583,1.144,94.13,No
13379+4808,34.33,1.434,1841,No
13418+5815,16.6,0.6273,1024,No
13446+2457,40.3,1.136,1409,No
13477+2128,39.09,0.9608,954.7,No
13484+2337,2231,0.593,4.914,No
13507-2140,7909,0.716,2.842,No
13538+5210,49.09,0.8792,694.4,No
14019+1530,47.49,1.181,1295,No
(PM J14019+4316A),67.85,0.7702,385.5,No
14024+4620,41.79,1.029,1117,No
14121-0035,14.29,0.1002,11.3,No
14144-1521,8.87,0.8679,1249,No
14157+5928,143.7,0.9035,248.7,No
14174+4527,1124,0.8974,26.73,No
14252+5151,1016,1.602,82.31,No
14257+2338,738.1,1.266,95.72,No
14279-0032,229.2,0.5808,64.87,No
14284+0520,1157,0.7582,21.92,No
14331+6101,20.76,0.7888,1319,No
14372+7537,323.1,0.6462,56.68,No
14424+6603,25.07,0.5166,302.8,No
14540+2335,10.2,0.5651,1346,No
14545+1606,48.91,0.6024,201.2,No
14575+3124,32.89,1.242,2068,No
15009+4526,23.45,0.8624,1131,No
15082+6222,26.33,0.6243,652.8,No
15189+2915,28.09,1.578,2384,No
15339+3755,25.32,1.005,1714,No
15354+1743,263.5,0.4418,29.44,No
15400+4330,56.21,0.477,170.7,No
15419+1828,126.5,2.797,805.3,No
(RX J1548.0+0421),7103,0.8123,3.868,No
15531+3445,9.907,0.4045,56.27,No
15555+3512,45,0.5499,263.9,No
15598+4404,238.7,0.7712,52.28,No
16019+3027,2948,0.6015,5.012,No
16048+3910,1005,1.106,27.32,No
(PM J16120+0318S),977.9,0.8754,29.68,No
16167+6714,694.6,1.129,77.59,Yes
16204-0416,1060,0.7658,8.622,No
16345+5709,396.8,1.045,98.94,No
16555-0820,0.05,0.9471,49.65,No
16579+4722,91.28,2.014,712,Yes
16592+2058,12.81,0.6378,1365,No
17050-0504,1930,1.208,31.88,No
(LP 387-36),667.2,1.287,107.4,No
17104+2759,1125,0.5189,7.581,No
17158+1900,20.05,0.7428,1070,No
17178-1149,814.2,0.9896,53.02,No
